alpha,lambda,intercept,x1,x2,x3,mse
0,100,16.99842,0.03873342,0.03895782,0.008072545,368.1158
0,79.43282,16.26827,0.04762824,0.04797983,0.009644183,368.1929
0,63.09573,15.39802,0.0582553,0.05879848,0.01137275,368.2848
0,50.11872,14.37334,0.07080568,0.07163287,0.01319575,368.3928
0,39.81072,13.18407,0.08542664,0.08666716,0.0150054,368.5179
0,31.62278,11.82669,0.1021923,0.1040218,0.01663814,368.6605
0,25.11886,10.30687,0.1210728,0.1237216,0.01786929,368.8198
0,19.95262,8.641537,0.1419093,0.1456666,0.01841729,368.9939
0,15.84893,6.85972,0.1644001,0.1696115,0.0179622,369.1794
0,12.58925,5.00168,0.1881052,0.1951611,0.01618113,369.3721
0,10,3.115918,0.2124824,0.221786,0.01279594,369.5667
0,7.943282,1.254631,0.2369311,0.2488597,0.007627691,369.7575
0,6.309573,-0.5317969,0.2608483,0.2757136,0.0006431732,369.9393
0,5.011872,-2.199967,0.2837207,0.3016852,-0.008031075,370.1078
0,3.981072,-3.716981,0.3051429,0.3261798,-0.01811308,370.2595
0,3.162278,-5.062553,0.3248122,0.3487301,-0.02919407,370.3929
0,2.511886,-6.227146,0.3426905,0.3689413,-0.04085314,370.5071
0,1.995262,-7.212848,0.358711,0.3866364,-0.05262555,370.6028
0,1.584893,-8.025518,0.3731486,0.4016273,-0.06420267,370.681
0,1.258925,-8.677583,0.38619,0.4139183,-0.0753134,370.743
0,1,-9.183059,0.3981067,0.4235688,-0.08580899,370.7907
0,0.7943282,-9.556469,0.4091871,0.4306921,-0.09563817,370.8256
0,0.6309573,-9.799876,0.4201644,0.4350961,-0.1050418,370.8482
0,0.5011872,-9.954164,0.4302342,0.4377461,-0.1135908,370.8623
0,0.3981072,-10.03,0.4397366,0.4387608,-0.1214309,370.869
0,0.3162278,-9.963081,0.4514305,0.4362724,-0.1299576,370.8626
0,0.2511886,-9.779812,0.4647559,0.430959,-0.1389577,370.8456
0,0.1995262,-9.476963,0.4801491,0.4226922,-0.14871,370.8175
0,0.1584893,-9.035663,0.4984893,0.4109417,-0.1597211,370.7768
0,0.1258925,-8.436665,0.520598,0.3951834,-0.1724694,370.7217
0,0.1,-7.6467,0.5476868,0.3745337,-0.1876322,370.6491
0,0.07943282,-6.652437,0.5802967,0.3486404,-0.2055359,370.5578
0,0.06309573,-5.392607,0.6204336,0.3158986,-0.2272627,370.4422
